method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
LASSO,3,0.08518890134186712,0.06379209421170356,0.10576426091269839,0.012685605370971203,1.0,15,True
LASSO,5,0.10355971358921856,0.07417481432478223,0.1324364087301588,0.015639976078597836,1.0,15,True
LASSO,10,0.08459453959935291,0.050166842823044566,0.11932718737119472,0.01834662302761794,1.0,15,True
LASSO,16,0.06285557042329029,0.03385435959944087,0.09517734598821556,0.01759494258819958,1.0,15,True
RF,3,0.03388176114591604,-0.002090695757498556,0.11047875601995187,0.03750206413200712,0.9333333333333333,15,False
RF,5,0.02701113531295361,-0.03174331816242126,0.09828147046953259,0.044780467290272234,0.6,15,False
RF,10,0.058430252110581976,0.03612431776216955,0.08518951883384931,0.014399040788133814,1.0,15,True
RF,16,0.06771229360068481,0.04756009005903838,0.09796463977038188,0.015752718461292357,1.0,15,True
