method,K,p_value
MI_perfeat,3,0.06
MI_perfeat,5,0.12
MI_perfeat,10,0.0
MI_perfeat,16,0.04
II_perfeat,3,0.71
II_perfeat,5,0.1
II_perfeat,10,0.21
II_perfeat,16,0.6
II_joint,3,0.36
II_joint,5,1.0
II_joint,10,0.87
II_joint,16,0.59
DII_L1,3,0.02
DII_L1,5,0.0
DII_L1,10,0.01
DII_L1,16,0.0
LASSO,3,0.01
LASSO,5,0.0
LASSO,10,0.0
LASSO,16,0.22
RF,3,0.0
RF,5,0.0
RF,10,0.0
RF,16,0.0
MINE,3,0.6
MINE,5,0.24
MINE,10,0.98
MINE,16,0.89
