K,theta_hat_n,current_ci_lo,current_ci_hi,current_width,current_robust,corrected_ci_lo,corrected_ci_hi,corrected_width,corrected_robust,classification_changed
3,0.07231738035264479,0.03443343756205665,0.1074842509920635,0.07305081343000686,True,0.040868127278741326,0.10619647401652674,0.06532834673778541,True,False
5,0.09775818639798484,0.05538380455315741,0.1293672535616949,0.07398344900853748,True,0.06949062847808113,0.1356530185015395,0.06616239002345836,True,False
10,0.06813602015113351,0.04067206873603614,0.11905485341274329,0.07838278467670715,True,0.022600001609941862,0.09269665755668752,0.07009665594674566,True,False
16,0.07420654911838787,0.06386409628114562,0.12502486064270296,0.061160764361557346,True,0.028760425796706166,0.08345566371884237,0.05469523792213621,True,False
