method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
LASSO,3,-0.014281875525478624,-0.028855478501151555,-0.0008466047855678945,0.008170999926681027,0.0,15,True
LASSO,5,0.0015888664901250404,-0.009814113954337109,0.011165209940566452,0.006411859068078414,0.5333333333333333,15,False
LASSO,10,0.0007309247093372403,-0.01030144780717732,0.014216846691986945,0.008045381892433166,0.4,15,False
LASSO,16,0.0026668673472902324,-0.0049122694769175275,0.014709682841667605,0.005987613296050456,0.6,15,False
RF,3,0.0031367713752882163,-0.015322971149846426,0.028802294084236936,0.013110239033734589,0.5333333333333333,15,False
RF,5,-0.002836642897263482,-0.01982905212734627,0.013657945686409724,0.009847465047962252,0.3333333333333333,15,False
RF,10,-0.0003103317187520105,-0.011384691375589756,0.010453696459294275,0.007062397296224254,0.5333333333333333,15,False
RF,16,-0.002751278733554219,-0.012639381564542635,0.006084947093419393,0.006042003622093143,0.3333333333333333,15,False
