method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
MINE,3,-0.0019129555272307788,-0.015238609876786774,0.006635580206592954,0.006876854763334414,0.4666666666666667,15,False
MINE,5,0.0012958196607716133,-0.01494867409792124,0.01852506377985296,0.010229215647723097,0.4666666666666667,15,False
MINE,10,-0.0008542284828937966,-0.01100895649199661,0.00969288270456987,0.005833822314609608,0.4,15,False
MINE,16,-0.0024163706534047684,-0.01303669741512042,0.010709316094998072,0.007662375452025981,0.4,15,False
