complication,method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
FIBR_PREDS,LASSO,3,0.014131259614628506,-0.0030284958012784437,0.03792294266191341,0.012361639130581938,0.8666666666666667,15,False
FIBR_PREDS,LASSO,5,0.014789283692935851,-0.0012915022888554172,0.038722677522087315,0.012129688970634676,0.9333333333333333,15,False
FIBR_PREDS,LASSO,10,0.01536610325998169,-0.007887987725328727,0.037837142206784184,0.014704479854079175,0.8,15,False
FIBR_PREDS,LASSO,16,0.016020689669891904,-0.0038326903049091645,0.03165269333336227,0.012259167373523415,0.8,15,False
FIBR_PREDS,RF,3,0.0039610272811584765,-0.0068346199257913465,0.018358325675860238,0.00890912155535336,0.4666666666666667,15,False
FIBR_PREDS,RF,5,0.006981723854929807,-0.00300046124933242,0.03513439542483663,0.011413134749233302,0.6666666666666666,15,False
FIBR_PREDS,RF,10,0.020661545413576225,0.003588774924050303,0.03625366281853462,0.009429029966646237,1.0,15,True
FIBR_PREDS,RF,16,0.020361784652396235,0.0011603015500599003,0.03951936022074713,0.010942146201514645,0.9333333333333333,15,True
PREDS_TAH,LASSO,3,0.0031504024421905143,-0.0009572333404300831,0.026535425304811056,0.009044903123611376,0.2,15,False
PREDS_TAH,LASSO,5,0.0032182833366361926,-0.0009854761462534639,0.02673863343173407,0.009121636072962536,0.26666666666666666,15,False
PREDS_TAH,LASSO,10,0.0031393534568097087,-0.0011038821094884771,0.02641008992005278,0.00897544939018544,0.3333333333333333,15,False
PREDS_TAH,LASSO,16,0.0031530809184294813,-0.0011743099897695314,0.02664966909132789,0.009168730144284046,0.4,15,False
PREDS_TAH,RF,3,-0.0002077081201465029,-0.0013162833907251121,4.4707774049213e-05,0.00045700313339722874,0.26666666666666666,15,False
PREDS_TAH,RF,5,-0.00013980873087623044,-0.0013889682031808818,9.096326895316478e-05,0.0004797327397335914,0.4666666666666667,15,False
PREDS_TAH,RF,10,-0.00031801904923484483,-0.0018214698265083124,0.00010911109041229217,0.0006265306020586192,0.3333333333333333,15,False
PREDS_TAH,RF,16,0.0014005282747869903,-0.001327725552246245,0.016933625169266185,0.006590633919331897,0.4666666666666667,15,False
JELUD_TAH,LASSO,3,0.004647994110318325,-0.0008238668961560198,0.042265402259576826,0.014650547762026522,0.8,15,False
JELUD_TAH,LASSO,5,0.0006008728679567366,-0.003038211688760334,0.010211333257558538,0.00414606965159322,0.5333333333333333,15,False
JELUD_TAH,LASSO,10,0.0008059434564221053,-0.0008763193430048194,0.009782610426600665,0.0037895126335166945,0.4,15,False
JELUD_TAH,LASSO,16,-0.00024103221550726047,-0.0009221095658924538,0.00016512298104875148,0.0003382741861745078,0.3333333333333333,15,False
JELUD_TAH,RF,3,0.0007953609567749412,-0.0006126059007558998,0.008815867161367851,0.0034131042570880545,0.6,15,False
JELUD_TAH,RF,5,-0.00021422589524331773,-0.0011373049577115602,0.0001251439920556402,0.0004054784328300694,0.5333333333333333,15,False
JELUD_TAH,RF,10,-0.00021071749888484925,-0.001096619451852862,0.00014202391706996388,0.00036254429372199287,0.3333333333333333,15,False
JELUD_TAH,RF,16,-0.00024087989079035754,-0.0008331734831358101,0.00016512298104875148,0.000333928018856875,0.3333333333333333,15,False
FIBR_JELUD,LASSO,3,0.006937176313058165,-0.002386300971173855,0.04364031343147032,0.015002506561120862,0.4,15,False
FIBR_JELUD,LASSO,5,0.004547626057861099,-0.0030519354050801695,0.027050821849917528,0.009591703951931591,0.4,15,False
FIBR_JELUD,LASSO,10,0.005563646540804823,-0.0027697938010611796,0.020567801472339928,0.008032056976463673,0.5333333333333333,15,False
FIBR_JELUD,LASSO,16,0.007985204594050903,-0.00302289542776355,0.03145058634975208,0.010652117955648611,0.6666666666666666,15,False
FIBR_JELUD,RF,3,0.00048314478264983954,-0.003538945389056672,0.016343291487896733,0.006328704498333568,0.26666666666666666,15,False
FIBR_JELUD,RF,5,0.004334077516549306,-0.004347753955851227,0.03747224128384618,0.012919441377801882,0.3333333333333333,15,False
FIBR_JELUD,RF,10,0.007347155338538284,-0.003091317680421876,0.031054473186825315,0.010790137451031443,0.6,15,False
FIBR_JELUD,RF,16,0.005292894719249693,-0.00285076979503793,0.01514055909484165,0.0066354593295944505,0.6,15,False
A_V_BLOK,LASSO,3,0.01806422593826499,-0.0041879033044551674,0.06795424147857189,0.022678729040239817,0.6666666666666666,15,False
A_V_BLOK,LASSO,5,0.008220383662133823,-0.005484269154141663,0.04340233715824367,0.016632722316116517,0.4,15,False
A_V_BLOK,LASSO,10,0.010758639526700482,-0.008787386562309485,0.07813427650497279,0.02697373509660545,0.4,15,False
A_V_BLOK,LASSO,16,0.006810435689546801,-0.005534268470879744,0.030365741634433577,0.011318773261570077,0.6,15,False
A_V_BLOK,RF,3,0.009626633864271091,-0.004013115638272793,0.04757871369176109,0.017651033300750595,0.4,15,False
A_V_BLOK,RF,5,0.005169358684658658,-0.0029682497030412815,0.026365261662477237,0.009792523577175383,0.4,15,False
A_V_BLOK,RF,10,0.0038713484240761485,-0.007341941848801647,0.028889321725126562,0.010986600566377,0.3333333333333333,15,False
A_V_BLOK,RF,16,0.012682089668691809,-0.0053753075686710896,0.05093539307215909,0.02108178530916866,0.4666666666666667,15,False
OTEK_LANC,LASSO,3,0.05810470155462958,0.024101815496067547,0.09692616433076727,0.02069521138759617,1.0,15,True
OTEK_LANC,LASSO,5,0.05268082780822679,0.03298786626479761,0.08155507111114478,0.016100481746392423,1.0,15,True
OTEK_LANC,LASSO,10,0.05166173046660889,0.016480468480260926,0.08668825237471446,0.018948008502204277,1.0,15,True
OTEK_LANC,LASSO,16,0.02779185222954646,0.004643169332755143,0.08086626760183291,0.022259810044451062,1.0,15,True
OTEK_LANC,RF,3,0.03199195418276848,0.009155129057462102,0.06311848357053935,0.016037586884174653,1.0,15,True
OTEK_LANC,RF,5,0.036068478337119556,0.02388484565438742,0.059636959177269334,0.010288029241211619,1.0,15,True
OTEK_LANC,RF,10,0.02959109375900464,0.007723784091189701,0.05341303759952641,0.013981181111878616,1.0,15,True
