complication,method,K,method_acc,baseline_mean,p_value
OTEK_LANC,II_perfeat,5,0.4968553459119497,0.5024727266048756,0.83
OTEK_LANC,II_perfeat,10,0.4968553459119497,0.5075828201078283,0.91
OTEK_LANC,II_perfeat,16,0.4928372901693338,0.5109006852529805,1.0
OTEK_LANC,II_joint,3,0.4999000077545006,0.4976144299013545,0.56
OTEK_LANC,II_joint,5,0.5314710287773602,0.5024727266048756,0.04
OTEK_LANC,II_joint,10,0.5606463172243785,0.5075828201078283,0.02
OTEK_LANC,II_joint,16,0.5859035421742804,0.5109006852529805,0.0
OTEK_LANC,DII_L1,3,0.512105183679633,0.4976144299013545,0.04
OTEK_LANC,DII_L1,5,0.5,0.5024727266048756,0.57
OTEK_LANC,DII_L1,10,0.5010978740424212,0.5075828201078283,0.6
OTEK_LANC,DII_L1,16,0.5046669850093258,0.5109006852529805,0.55
RAZRIV,MI_perfeat,3,0.4996962332928311,0.4999269834840916,0.97
RAZRIV,MI_perfeat,5,0.5,0.4996354799513973,0.84
RAZRIV,MI_perfeat,10,0.4990886998784933,0.4999800864047522,0.95
RAZRIV,MI_perfeat,16,0.5086517258449215,0.5013294856217092,0.04
RAZRIV,II_perfeat,3,0.5,0.4999269834840916,0.92
RAZRIV,II_perfeat,5,0.5,0.4996354799513973,0.84
RAZRIV,II_perfeat,10,0.5,0.4999800864047522,0.57
RAZRIV,II_perfeat,16,0.5,0.5013294856217092,0.59
RAZRIV,II_joint,3,0.5,0.4999269834840916,0.92
RAZRIV,II_joint,5,0.5,0.4996354799513973,0.84
RAZRIV,II_joint,10,0.5,0.4999800864047522,0.57
RAZRIV,II_joint,16,0.5,0.5013294856217092,0.59
RAZRIV,DII_L1,3,0.5,0.4999269834840916,0.92
RAZRIV,DII_L1,5,0.4975698663426488,0.4996354799513973,0.97
RAZRIV,DII_L1,10,0.5,0.4999800864047522,0.57
RAZRIV,DII_L1,16,0.5,0.5013294856217092,0.59
DRESSLER,MI_perfeat,3,0.5,0.501028717948718,0.82
DRESSLER,MI_perfeat,5,0.5,0.4999938461538461,0.68
DRESSLER,MI_perfeat,10,0.4990769230769231,0.5013128205128204,0.9
DRESSLER,MI_perfeat,16,0.5,0.4997989743589743,0.37
DRESSLER,II_perfeat,3,0.5,0.501028717948718,0.82
DRESSLER,II_perfeat,5,0.5,0.4999938461538461,0.68
DRESSLER,II_perfeat,10,0.5,0.5013128205128204,0.61
DRESSLER,II_perfeat,16,0.5,0.4997989743589743,0.37
DRESSLER,II_joint,3,0.4996923076923077,0.501028717948718,0.83
DRESSLER,II_joint,5,0.5,0.4999938461538461,0.68
DRESSLER,II_joint,10,0.4996923076923077,0.5013128205128204,0.75
DRESSLER,II_joint,16,0.5,0.4997989743589743,0.37
DRESSLER,DII_L1,3,0.5,0.501028717948718,0.82
DRESSLER,DII_L1,5,0.5,0.4999938461538461,0.68
DRESSLER,DII_L1,10,0.4996923076923077,0.5013128205128204,0.75
DRESSLER,DII_L1,16,0.4984615384615384,0.4997989743589743,0.97
ZSN,MI_perfeat,3,0.6199481502786826,0.5116651184303604,0.0
ZSN,MI_perfeat,5,0.6181543986753835,0.5116550322214536,0.0
ZSN,MI_perfeat,10,0.5711923103831593,0.5205729899487721,0.11
ZSN,MI_perfeat,16,0.5486547834671683,0.5238616576363679,0.19
ZSN,II_perfeat,3,0.5,0.5116651184303604,0.72
ZSN,II_perfeat,5,0.5008861871409582,0.5116550322214536,0.64
ZSN,II_perfeat,10,0.5055794808809011,0.5205729899487721,0.64
ZSN,II_perfeat,16,0.5005033387489214,0.5238616576363679,0.86
ZSN,II_joint,3,0.5062305174866488,0.5116651184303604,0.38
ZSN,II_joint,5,0.5153975015741482,0.5116550322214536,0.24
ZSN,II_joint,10,0.5525046447089186,0.5205729899487721,0.13
ZSN,II_joint,16,0.5338519601060315,0.5238616576363679,0.25
ZSN,DII_L1,3,0.6090943011947979,0.5116651184303604,0.05
ZSN,DII_L1,5,0.6113700142256357,0.5116550322214536,0.01
ZSN,DII_L1,10,0.5952476271173265,0.5205729899487721,0.06
ZSN,DII_L1,16,0.5930924044433734,0.5238616576363679,0.0
REC_IM,MI_perfeat,3,0.5077116468518769,0.5017218052477563,0.08
REC_IM,MI_perfeat,5,0.512478624106702,0.5015163926062877,0.04
REC_IM,MI_perfeat,10,0.5227859880254184,0.5024708287928692,0.01
REC_IM,MI_perfeat,16,0.521263657104143,0.5023030458862374,0.03
REC_IM,II_perfeat,3,0.5,0.5017218052477563,0.68
REC_IM,II_perfeat,5,0.5,0.5015163926062877,0.58
REC_IM,II_perfeat,10,0.5,0.5024708287928692,0.54
REC_IM,II_perfeat,16,0.499675535366645,0.5023030458862374,0.59
REC_IM,II_joint,3,0.5,0.5017218052477563,0.68
REC_IM,II_joint,5,0.4943841089874662,0.5015163926062877,0.97
REC_IM,II_joint,10,0.5176945461372383,0.5024708287928692,0.04
REC_IM,II_joint,16,0.5092339777731523,0.5023030458862374,0.15
REC_IM,DII_L1,3,0.5,0.5017218052477563,0.68
REC_IM,DII_L1,5,0.5,0.5015163926062877,0.58
REC_IM,DII_L1,10,0.4954574951330305,0.5024708287928692,0.95
REC_IM,DII_L1,16,0.4973042906876609,0.5023030458862374,0.77
P_IM_STEN,MI_perfeat,3,0.4927469350794093,0.5018803984396767,0.96
P_IM_STEN,MI_perfeat,5,0.5083588743382558,0.5042183581777653,0.17
P_IM_STEN,MI_perfeat,10,0.5040140011145166,0.5015320249373084,0.19
P_IM_STEN,MI_perfeat,16,0.4932345360824742,0.5023538938422959,0.96
P_IM_STEN,II_perfeat,3,0.5,0.5018803984396767,0.69
P_IM_STEN,II_perfeat,5,0.5,0.5042183581777653,0.67
P_IM_STEN,II_perfeat,10,0.5,0.5015320249373084,0.49
P_IM_STEN,II_perfeat,16,0.4993556701030928,0.5023538938422959,0.47
P_IM_STEN,II_joint,3,0.5059382836444692,0.5018803984396767,0.14
P_IM_STEN,II_joint,5,0.5093079548620786,0.5042183581777653,0.16
P_IM_STEN,II_joint,10,0.4964561855670103,0.5015320249373084,0.89
P_IM_STEN,II_joint,16,0.4948453608247423,0.5023538938422959,0.92
P_IM_STEN,DII_L1,3,0.5,0.5018803984396767,0.69
P_IM_STEN,DII_L1,5,0.5017675536361104,0.5042183581777653,0.25
P_IM_STEN,DII_L1,10,0.5007923516299805,0.5015320249373084,0.32
P_IM_STEN,DII_L1,16,0.4980670103092783,0.5023538938422959,0.63
FIBR_PREDS,LASSO,3,0.5303921568627451,0.500483660130719,0.02
FIBR_PREDS,LASSO,5,0.5133986928104575,0.5034150326797386,0.17
FIBR_PREDS,LASSO,10,0.5052287581699346,0.5068464052287581,0.42
FIBR_PREDS,LASSO,16,0.5212418300653594,0.5094509803921567,0.2
FIBR_PREDS,RF,3,0.5166666666666667,0.500483660130719,0.09
FIBR_PREDS,RF,5,0.5078431372549019,0.5034150326797386,0.22
FIBR_PREDS,RF,10,0.5215686274509804,0.5068464052287581,0.16
FIBR_PREDS,RF,16,0.5356209150326797,0.5094509803921567,0.01
PREDS_TAH,LASSO,3,0.4997023809523809,0.4999880952380953,0.99
PREDS_TAH,LASSO,5,0.4994047619047619,0.4999672619047619,0.98
PREDS_TAH,LASSO,10,0.4994047619047619,0.4999523809523809,0.98
PREDS_TAH,LASSO,16,0.4994047619047619,0.4999285714285715,0.98
PREDS_TAH,RF,3,0.5,0.4999880952380953,0.99
PREDS_TAH,RF,5,0.5,0.4999672619047619,0.96
PREDS_TAH,RF,10,0.4997023809523809,0.4999523809523809,0.95
PREDS_TAH,RF,16,0.5,0.4999285714285715,0.88
JELUD_TAH,LASSO,3,0.5,0.5004793497616176,0.94
JELUD_TAH,LASSO,5,0.5,0.4995207938422655,0.88
JELUD_TAH,LASSO,10,0.5,0.4999155609167672,0.87
JELUD_TAH,LASSO,16,0.5,0.5000631857085416,0.64
JELUD_TAH,RF,3,0.4996984318455971,0.5004793497616176,0.98
JELUD_TAH,RF,5,0.5,0.4995207938422655,0.88
JELUD_TAH,RF,10,0.4996984318455971,0.4999155609167672,0.91
JELUD_TAH,RF,16,0.5,0.5000631857085416,0.64
FIBR_JELUD,LASSO,3,0.5314242730786191,0.4988964542318367,0.01
FIBR_JELUD,LASSO,5,0.5042798225819003,0.4998245705046731,0.03
FIBR_JELUD,LASSO,10,0.4987722529158993,0.4996277418964369,0.95
FIBR_JELUD,LASSO,16,0.5128567599581528,0.5010361926006623,0.05
FIBR_JELUD,RF,3,0.4984653161448741,0.4988964542318367,0.93
FIBR_JELUD,RF,5,0.5183643296241538,0.4998245705046731,0.01
FIBR_JELUD,RF,10,0.5183643296241538,0.4996277418964369,0.0
FIBR_JELUD,RF,16,0.498158379373849,0.5010361926006623,0.95
A_V_BLOK,LASSO,3,0.4990870359099209,0.4992201898538189,0.99
A_V_BLOK,LASSO,5,0.5595775805917715,0.4992937074884411,0.0
A_V_BLOK,LASSO,10,0.4984783931832015,0.502565535872548,0.98
A_V_BLOK,LASSO,16,0.4987827145465611,0.5030578424149235,0.98
A_V_BLOK,RF,3,0.508163287097842,0.4992201898538189,0.0
A_V_BLOK,RF,5,0.4990870359099209,0.4992937074884411,0.96
A_V_BLOK,RF,10,0.5154136101056048,0.502565535872548,0.09
A_V_BLOK,RF,16,0.506033037554324,0.5030578424149235,0.19
OTEK_LANC,LASSO,3,0.5653133022337044,0.4976144299013545,0.01
OTEK_LANC,LASSO,5,0.5619441757577984,0.5024727266048756,0.01
OTEK_LANC,LASSO,10,0.5525102134936475,0.5075828201078283,0.02
OTEK_LANC,LASSO,16,0.551312347205727,0.5109006852529805,0.03
OTEK_LANC,RF,3,0.5320199657985707,0.4976144299013545,0.01
OTEK_LANC,RF,5,0.5376603447079614,0.5024727266048756,0.04
OTEK_LANC,RF,10,0.5368869352988952,0.5075828201078283,0.07
OTEK_LANC,RF,16,0.5157477583371086,0.5109006852529805,0.26
RAZRIV,LASSO,3,0.5,0.4999269834840916,0.92
RAZRIV,LASSO,5,0.5,0.4996354799513973,0.84
RAZRIV,LASSO,10,0.5,0.4999800864047522,0.57
RAZRIV,LASSO,16,0.4990886998784933,0.5013294856217092,0.97
RAZRIV,RF,3,0.5173034516898429,0.4999269834840916,0.0
RAZRIV,RF,5,0.4975698663426488,0.4996354799513973,0.97
RAZRIV,RF,10,0.4981773997569866,0.4999800864047522,1.0
RAZRIV,RF,16,0.5080441924305837,0.5013294856217092,0.07
DRESSLER,LASSO,3,0.4996923076923077,0.501028717948718,0.83
DRESSLER,LASSO,5,0.4993846153846153,0.4999938461538461,0.85
DRESSLER,LASSO,10,0.5193846153846153,0.5013128205128204,0.02
DRESSLER,LASSO,16,0.4990769230769231,0.4997989743589743,0.89
DRESSLER,RF,3,0.4993846153846153,0.501028717948718,0.92
DRESSLER,RF,5,0.4990769230769231,0.4999938461538461,0.9
