method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
LASSO,3,0.04094426028318542,0.01504026420140045,0.06336966360648819,0.015536299558310386,1.0,15,True
LASSO,5,0.061920039563579145,0.017234431598019646,0.07956798169136878,0.019016441313150872,1.0,15,True
LASSO,10,0.07320049800667236,0.05075946417535285,0.10508840781001953,0.015232952656451582,1.0,15,True
LASSO,16,0.0849176756177454,0.06578194452633812,0.1048026234048801,0.012915671224616393,1.0,15,True
RF,3,0.04936003491052188,0.024322101570133696,0.06937592268380832,0.014193910260842851,1.0,15,True
RF,5,0.07081690220992191,0.05153844780375561,0.09948751313537013,0.013874336591061505,1.0,15,True
RF,10,0.06305097574457781,0.041675057928183726,0.08363618134263291,0.014160491863984914,1.0,15,True
RF,16,0.056644577512377205,0.038892705216754156,0.08043017300958415,0.01419074707301245,1.0,15,True
