complication,method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B
ZSN,MI_perfeat,5,0.0930164532754262,0.06723952649439127,0.11469048331703664,0.014802243253603261,1.0,100
ZSN,DII_L1,16,0.09008809014199029,0.07286891385615307,0.11467044557350303,0.013558012699051622,1.0,15
ZSN,MI_perfeat,3,0.09824157747569286,0.042154461685679934,0.11765633627344572,0.019824889729447372,0.99,100
OTEK_LANC,II_joint,16,0.02920629111781649,-0.008717482641498608,0.07026205622757306,0.021540947276257476,0.93,100
JELUD_TAH,II_perfeat,16,-0.0001801043467062008,-0.0014817110611384215,0.0002235119098437887,0.00042563472580580466,0.47,100
FIBR_JELUD,MI_perfeat,10,0.00380896989982565,-0.00480769456089412,0.0359386503067484,0.010262303235038966,0.38,100
FIBR_JELUD,II_joint,10,0.0010042573356344197,-0.0037117914807669487,0.020397066145006887,0.006278141425096636,0.19,100
