complication,method,K,theta_hat_n,current_ci_lo,current_ci_hi,current_robust,corrected_ci_lo,corrected_ci_hi,corrected_robust,classification_changed
ZSN,MI_perfeat,3,0.10828303184832211,0.042154461685679934,0.11765633627344572,True,0.09989929350097171,0.16743022310373498,True,False
ZSN,MI_perfeat,5,0.10649936645392988,0.06723952649439127,0.11469048331703664,True,0.09917300880690925,0.14161443482804625,True,False
ZSN,DII_L1,16,0.06923074680700547,0.07286891385615307,0.11467044557350303,True,0.02858824467940472,0.06597667127284793,True,False
